Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GoogleTest,Firefox 69.0,,,2019-09-09 18:34:14,2019-09-09 18:34:35,21.437s,INCOMPLETE
,,,,,,,
Test Cases/GoogleSearch,Firefox 69.0,,,2019-09-09 18:34:14,2019-09-09 18:34:35,21.092s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-09-09 18:34:14,2019-09-09 18:34:24,9.375s,PASSED
"navigateToUrl(""https://www.google.com/"")",Firefox 69.0,,,2019-09-09 18:34:24,2019-09-09 18:34:26,1.781s,PASSED
"setText(findTestObject(""Object Repository/Page_Google/input_Show me_q""), ""selenium"")",Firefox 69.0,,,2019-09-09 18:34:26,2019-09-09 18:34:26,0.403s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Google/input_Show me_q""), Keys.chord(ENTER))",Firefox 69.0,,,2019-09-09 18:34:26,2019-09-09 18:34:26,0.229s,PASSED
delay(2),Firefox 69.0,,,2019-09-09 18:34:26,2019-09-09 18:34:28,2.032s,PASSED
pageTitle = getWindowTitle(),Firefox 69.0,,,2019-09-09 18:34:28,2019-09-09 18:34:28,0.017s,PASSED
"verifyMatch(pageTitle, ""selenium - Google Search"", false)",Firefox 69.0,,,2019-09-09 18:34:28,2019-09-09 18:34:28,0.013s,PASSED
closeBrowser(),Firefox 69.0,,,2019-09-09 18:34:28,2019-09-09 18:34:35,6.725s,PASSED
